Image.Name;Site;Location_season;Trigger;Day;Month;Year;Date;Time;Temp_F;Temp_C;Serial #;Species;Comment
2014-10-23 20-05-02 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;23;10;2014;23/10/2014;20:05:02;36;2;S750HG03177873;;
2014-10-24 01-00-00 T.JPG;Valdres;Box1Spring2015;T;24;10;2014;24/10/2014;01:00:00;36;2;S750HG03177873;;
2014-10-24 03-54-24 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;24;10;2014;24/10/2014;03:54:24;36;2;S750HG03177873;S;
2014-10-24 03-54-25 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;24;10;2014;24/10/2014;03:54:25;36;2;S750HG03177873;;
2014-10-24 13-00-00 T.JPG;Valdres;Box1Spring2015;T;24;10;2014;24/10/2014;13:00:00;37;3;S750HG03177873;;
2014-10-25 01-00-00 T.JPG;Valdres;Box1Spring2015;T;25;10;2014;25/10/2014;01:00:00;40;4;S750HG03177873;;
2014-10-25 01-57-51 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;25;10;2014;25/10/2014;01:57:51;39;4;S750HG03177873;M;
2014-10-25 01-57-52 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;25;10;2014;25/10/2014;01:57:52;39;4;S750HG03177873;;
2014-10-25 13-00-00 T.JPG;Valdres;Box1Spring2015;T;25;10;2014;25/10/2014;13:00:00;36;2;S750HG03177873;;
2014-10-25 21-58-11 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;25;10;2014;25/10/2014;21:58:11;39;4;S750HG03177873;M;
2014-10-25 21-58-11 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;25;10;2014;25/10/2014;21:58:11;39;4;S750HG03177873;;
2014-10-26 01-00-00 T.JPG;Valdres;Box1Spring2015;T;26;10;2014;26/10/2014;01:00:00;39;4;S750HG03177873;;
2014-10-26 01-00-01 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;26;10;2014;26/10/2014;01:00:01;39;4;S750HG03177873;;
2014-10-26 01-00-01 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;26;10;2014;26/10/2014;01:00:01;39;4;S750HG03177873;;
2014-10-26 13-00-00 T.JPG;Valdres;Box1Spring2015;T;26;10;2014;26/10/2014;13:00:00;42;6;S750HG03177873;;
